math_score,read_score,scie_score,gender,immig,homelang,desk,room,quietplace,homecomputer,homeinternet,books,booksqty,timeread,joyread,misced,fisced,hisced,pared,cultposs,hedres,wealth,ictres,schlregion,schllocation,schltype,stratio,schsize,clsize,schid,stuid
408.95099,385.14871,426.54361,Female,Second-Generation,Other language,Yes,No,No,No,Yes,Yes,26-100 books,30 minutes or less a day,.3891,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",12,-.5174,-1.5528,-1.2991,-1.2471,Great Britain: England,A large city (with over 1 000 000 people),Public,15.8053,893,21-25 students,82600001,82603288
467.3887,541.75861,488.95981,Female,Second-Generation,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,30 minutes or less a day,-.4042,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",16,-.0396,.2646,-1.4297,-.3419,Great Britain: England,A large city (with over 1 000 000 people),Public,15.8053,893,21-25 students,82600001,82604013
392.49649,300.327,323.72211,Female,Second-Generation,Other language,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,More than 2 hours a day,-.1119,ISCED 5B,ISCED 5B,ISCED 5B,14,-1.8434,-.6853,-.775,-1.2014,Great Britain: England,A large city (with over 1 000 000 people),Public,15.8053,893,21-25 students,82600001,82604218
574.38092,584.9024,529.17432,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,More than 2 hours a day,2.6131,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,1.8498,1.1793,1.4432,1.2943,Great Britain: England,A large city (with over 1 000 000 people),Public,15.8053,893,21-25 students,82600001,82608603
494.03201,573.52588,491.84161,Female,Second-Generation,Language of the test,Yes,No,Yes,Yes,Yes,Yes,11-25 books,30 minutes or less a day,1.5998,"ISCED 3A, ISCED 4",ISCED 5B,ISCED 5B,14,-.7847,-.4884,-.8366,.2272,Great Britain: England,A large city (with over 1 000 000 people),Public,15.8053,893,21-25 students,82600001,82610123
435.95651,536.25171,412.35559,Female,Second-Generation,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,I do not read for enjoyment,-.0176,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",16,-.2588,1.1793,-.2443,.2111,Great Britain: England,A large city (with over 1 000 000 people),Public,15.8053,893,21-25 students,82600001,82613064
539.55499,532.63531,538.1983,Female,Second-Generation,Other language,Yes,No,Yes,Yes,Yes,Yes,101-200 books,I do not read for enjoyment,-.8353,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",16,-.1662,1.1793,-.5068,.333,Great Britain: England,A large city (with over 1 000 000 people),Public,15.8053,893,21-25 students,82600001,82613601
302.03891,357.14621,398.11649,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,0-10 books,30 minutes or less a day,-.2875,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,14,-.1662,1.1793,.6577,3.601,Great Britain: England,A large city (with over 1 000 000 people),Public,15.8053,893,21-25 students,82600001,82614995
521.96259,493.00879,505.8732,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,30 minutes or less a day,.638,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,.0896,1.1793,.8908,1.2943,Great Britain: England,A large city (with over 1 000 000 people),Public,15.8053,893,21-25 students,82600001,82615051
589.44812,547.73688,614.75238,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,30 minutes or less a day,-.2704,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,1.8498,1.1793,2.3046,1.8669,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82600645
